ID,desc,name,type,depertment,filePath,Priority,,
RQ-3-1,Understand the preliminary scope statement for the statewide email system and ensure that requirements remain within scope. ,Manage Scope,Functional,None,201.248.87.55/requirements,High,,
RQ-3-2,"Specification must be complete 
within 6 weeks (30 business days).",Manage Time,Functional,None,201.248.87.55/requirements,High,,
RQ-3-3,Workgroup will use the 2006 Messaging Optimization Workgroup Survey as a basis for the 2009 Enterprise e-mail survey. ,Manage Time,Functional,None,201.248.87.55/requirements,High,,
RQ-3-4," Specification must be complete and detailed enough to submit to outside vendors as Request For Information (RFI) or Request For 
Proposals (RFP) or an Invitation to Negotiate (ITN). ",Ensure Completeness,Functional,None,201.248.87.55/requirements,High,,
RQ-5,"Specification must include an attachment which provides a narrative and breakdown of existing agency resources (personnel, equipment ? 
including storage capabilities, software-licenses) and current spend (reuse IV-C data where applicable) on e-mail.",Ensure Completeness:,Functional,Team A,201.248.87.55/requirements,High,,
RQ-6,추가된 단어는 당일 시험문제에 등록된다.,TimeManage,Non-Functional,Team B,201.248.87.55/requirement/RQ-6,High,,
RQ-7,,RQ-7's Name,Non-Functional,Team A,201.248.87.55/requirement/RQ-7,,,
RQ-8,RQ-8's desc.,RQ-8's Name,Non-Functional,Team A,201.248.87.55/requirement/RQ-8,,,
RQ-9,RQ-9's desc.,RQ-9's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-9,,,
RQ-10,RQ-10's desc.,RQ-10's Name,Functional,Team D,201.248.87.55/requirement/RQ-10,,,
RQ-11,RQ-11's desc.,RQ-11's Name,Non-Functional,Team C,201.248.87.55/requirement/RQ-11,,,
RQ-12,RQ-12's desc.,RQ-12's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-12,,,
RQ-13,RQ-13's desc.,RQ-13's Name,Functional,Team A,201.248.87.55/requirement/RQ-13,,,
RQ-14,RQ-14's desc.,RQ-14's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-14,,,
RQ-15,RQ-15's desc.,RQ-15's Name,Functional,Team A,201.248.87.55/requirement/RQ-15,,,
RQ-16,RQ-16's desc.,RQ-16's Name,Functional,Team F,201.248.87.55/requirement/RQ-16,,,
RQ-17,RQ-17's desc.,RQ-17's Name,Functional,Team A,201.248.87.55/requirement/RQ-17,,,
RQ-18,RQ-18's desc.,RQ-18's Name,Functional,Team B,201.248.87.55/requirement/RQ-18,,,
RQ-19,RQ-19's desc.,RQ-19's Name,Non-Functional,Team B,201.248.87.55/requirement/RQ-19,,,
RQ-20,RQ-20's desc.,RQ-20's Name,Non-Functional,Team D,201.248.87.55/requirement/RQ-20,,,
RQ-21,RQ-21's desc.,RQ-21's Name,Non-Functional,Team E,201.248.87.55/requirement/RQ-21,,,
RQ-22,RQ-22's desc.,RQ-22's Name,Non-Functional,Team F,201.248.87.55/requirement/RQ-22,,,
RQ-23,RQ-23's desc.,RQ-23's Name,Functional,Team B,201.248.87.55/requirement/RQ-23,,,
RQ-24,RQ-24's desc.,RQ-24's Name,Functional,Team B,201.248.87.55/requirement/RQ-24,,,
RQ-25,RQ-25's desc.,RQ-25's Name,Functional,Team D,201.248.87.55/requirement/RQ-25,,,
RQ-26,RQ-26's desc.,RQ-26's Name,Functional,Team D,201.248.87.55/requirement/RQ-26,,,
RQ-27,RQ-27's desc.,RQ-27's Name,Functional,Team B,201.248.87.55/requirement/RQ-27,,,
